floor,floors_count,rooms_count,total_meters,price_per_month,district,street,house_number,underground,lat,lon,geo_quality,dist_to_center_km,dist_to_metro_km,parks_1km,groceries_top_1km,schools_1km,pharmacies_top_1km,clinics_1km
7,25,1,37.0,70000,Проспект Вернадского, Удальцова,19К2,Проспект Вернадского,55.6730709,37.5103653,1,11.05030523836206,0.6221925777904129,2,4,3,4,1
11,14,3,62.0,70000,Десёновское, 3-я Нововатутинская,15к3,Аэропорт Внуково,55.5152436,37.3414512,1,31.51848924302537,10.700529718233923,0,2,1,1,0
6,12,1,36.0,70000,Коптево,проезд Черепановых,70,Лихоборы,55.8458464,37.5536848,1,11.169128603545488,0.4677435380660065,0,5,1,0,0
1,13,1,33.0,70000,Таганский,Новоспасский переулок,5,Таганская,55.7337264,37.6543854,1,3.077296740877642,0.9662597702088156,2,4,5,0,7
6,16,2,54.0,70000,Западное Дегунино, Ивана Сусанина,2К1,Моссельмаш,55.8652384,37.5285892,1,13.760382731057415,0.3624183902634922,1,6,3,1,2
8,14,3,65.0,70000,Чертаново Южное,Чертановская ,50К2,Пражская,55.6050854,37.5874515,1,16.446959973292866,1.1431828635943198,0,8,3,1,0
4,11,2,69.0,70000,Южнопортовый,Велозаводская ,11/1,Автозаводская,55.7113128,37.6665897,1,5.4716163258498245,0.5967907818211838,4,3,3,2,2
7,9,3,65.0,70000,Можайский, Говорова,15,Сетунь,55.7188516,37.395526,0,14.37766228209977,0.5513508324809611,4,5,4,1,1
18,25,1,35.0,70000,Метрогородок,Тагильская ,4В,Бульвар Рокоссовского,55.8161887,37.7538813,1,11.11866523458553,1.0643607056107558,0,3,1,1,0
5,9,3,63.7,70000,Гольяново,Щелковское шоссе,87К1,Щелковская,55.812439,37.820393,1,14.355704664747472,1.4100324951812204,0,6,7,0,1
24,27,1,21.0,70000,Лефортово, Крузенштерна,10к1,Авиамоторная,55.7513569,37.7041778,1,5.424720869569743,1.118257994712909,1,7,3,7,1
8,16,2,46.0,70000,Сосенское, Потаповская Роща,20к2,Потапово,55.5513768,37.5063207,1,23.375762398671228,0.973630549612018,0,3,2,0,0
5,5,2,35.0,70000,Таганский,Крестьянский тупик,14-16,Пролетарская,55.7325608,37.6612599,1,3.4908781538318387,0.3717306083786642,3,6,5,4,5
3,12,2,44.8,70000,Солнцево, 50 лет Октября,7,Говорово,55.6577459,37.4127463,0,16.56698415700984,0.3145700992826299,0,3,3,1,2
2,33,1,25.0,70000,Марфино,Ботаническая ,29К2,Улица Милашенкова,55.8326212,37.5929559,0,9.092491555228015,1.199800049469806,2,4,2,0,3
4,9,2,45.0,70000,Мещанский, Сущевский Вал,62,Марьина Роща,55.7923047,37.6251333,1,4.504499936348964,1.0254854602718502,3,3,5,5,4
8,9,3,60.0,70000,Зябликово, Мусы Джалиля,16К2,Шипиловская,55.6238421,37.7384028,1,16.142510198928996,0.406722642939831,1,9,6,3,0
19,23,1,41.0,70000,Щукино, Берзарина,32А,Октябрьское поле,55.7902666,37.4691309,1,10.207939307909538,1.5562332554249456,1,5,2,0,0
6,13,1,38.0,70000,Таганский,Новоспасский переулок,5,Таганская,55.7337264,37.6543854,1,3.077296740877642,0.9662597702088156,2,4,5,0,7
5,9,2,60.0,70000,Красносельский,Краснопрудная ,7-9,Красносельская,55.7784279,37.6627327,1,4.077701263946905,0.2745293525433959,0,6,2,5,5
3,9,2,48.0,70000,Тверской, Бутырский Вал,28,Белорусская,55.7827607,37.5869386,1,3.916156364744347,0.821860648687831,1,6,1,2,12
