floor,floors_count,rooms_count,total_meters,price_per_month,district,street,house_number,underground,lat,lon,geo_quality
21,23,1,38.0,40000,Можайский,Барвихинская ,4К2,Сетунь,55.7161933,37.3910358,1
4,5,1,35.0,37999,Измайлово,11-я Парковая ,37К1,Первомайская,55.8006962,37.8046517,1
1,4,-1,17.0,40000,Солнцево, 50 лет Октября,2К2,Говорово,55.6537986,37.4167658,1
1,5,2,48.0,40000,Дмитровский,Карельский бульвар,22,Лианозово,55.893768,37.5348672,0
1,4,1,20.0,38000,Хорошевский,1-й Хорошевский проезд,10К2,Беговая,55.7763822,37.5458105,1
11,16,1,34.8,40000,Бибирево, Лескова,30К1,Бибирево,55.8917001,37.6173803,1
12,12,1,39.4,40000,Ивановское,Челябинская ,24К1,Первомайская,55.7783239,37.8335636,1
8,9,1,33.0,40000,Ясенево,Новоясеневский проспект,19К4,Новоясеневская,55.6057483,37.5485977,1
8,16,1,38.0,40000,Братеево, Борисовские Пруды,20К2,Борисово,55.6373622,37.7534387,1
7,17,1,20.0,35000,Щербинка, Мостотреста,10к2,Щербинка,55.5122499,37.5730248,1
1,21,2,60.0,40000,Сосенское,проспект Куприна,24к1,Потапово,55.5447833,37.4803814,1
1,5,1,14.0,40000,Алексеевский,Ракетный бульвар,8,ВДНХ,55.8177187,37.6510387,1
5,5,1,33.0,40000,Преображенское,Просторная ,10К1,Бульвар Рокоссовского,55.8053656,37.7191684,1
3,12,1,36.0,35000,Гольяново,Уральская ,3,Щёлковская,55.8244945,37.8045086,1
1,5,1,33.0,36000,Очаково-Матвеевское,Матвеевская ,28,Матвеевская,55.7036808,37.4637267,1
18,25,1,21.0,40000,Южное Бутово,Бартеневская ,18к2,Бунинская аллея,55.5477084,37.5146033,1
2,5,1,32.0,40000,Покровское-Стрешнево,Волоколамское шоссе,96/2,Тушинская,55.8253704,37.4326835,1
2,9,1,33.0,40000,Тимирязевский,Дмитровское шоссе,41К1,Петровско-Разумовская,55.8324207,37.5706715,1
1,14,1,20.0,36000,Восточное Дегунино,Бескудниковский бульвар,8К1,Верхние Лихоборы,55.859662,37.5646914,1
3,12,1,36.0,35000,Лианозово,Илимская ,2,Лианозово,55.8920356,37.5687195,1
10,24,-1,23.0,40000,Митино,Пятницкое шоссе,56Б,Пятницкое шоссе,55.8551998,37.3561824,1
5,14,1,20.0,36000,Марфино,Ботаническая ,33Вс1,Окружная,55.8326212,37.5929559,0
3,4,1,14.0,38000,Северное Измайлово,Сиреневый бульвар,15,Щёлковская,55.8030142,37.7906921,0
1,5,2,42.0,40000,Лосиноостровский,Анадырский проезд,41,Бабушкинская,55.8705335,37.6934884,1
3,9,1,35.0,38000,Тимирязевский,Дмитровское шоссе,44К2,Окружная,55.8435808,37.5722686,1
8,17,1,42.0,35000,Десёновское, Кварцевая,5к3,Ольховая,55.4879187,37.3355105,1
4,15,1,23.7,37000,Молжаниновский,Ленинградское шоссе,228к4,Молжаниново,55.9326178,37.3836786,1
8,9,1,33.0,35000,Гольяново,Щелковское шоссе,69С2,Щёлковская,55.8099295,37.7854812,0
7,9,1,20.0,32000,Южное Бутово,Варшавское шоссе,282к3,Щербинка,55.5179598,37.5717964,1
1,14,1,20.0,36000,Восточное Дегунино,Бескудниковский бульвар,8К1,Верхние Лихоборы,55.859662,37.5646914,1
8,14,2,42.0,37000,Бирюлево Восточное,Донбасская ,7,Царицыно,55.595906,37.658859,1
4,9,1,30.0,40000,Измайлово,Сиреневый бульвар,14К1,Щёлковская,55.8022137,37.7850671,1
8,12,1,35.0,38000,Бирюлево Восточное,Элеваторная ,14,Царицыно,55.6011129,37.6666905,1
8,9,1,38.0,40000,Ивановское, Молостовых,17К2,Новогиреево,55.7525655,37.8351303,1
9,10,1,38.0,35000,Южное Бутово,Южнобутовская ,23,Улица Горчакова,55.5399934,37.5395671,1
9,14,1,25.5,33000,Рязановское, Уточкина,7к3,Силикатная,55.4756831,37.5239916,1
1,16,1,40.0,40000,Зябликово, Мусы Джалиля,27К2,Шипиловская,55.6191685,37.7450152,1
10,14,1,32.0,35000,Выхино-Жулебино,Ферганская ,9К5,Юго-Восточная,55.7095508,37.8067328,1
3,17,1,39.3,38000,Лианозово,Псковская ,5К3,Лианозово,55.9050723,37.5479653,1
1,3,1,23.0,34000,Московский, Шекспира,1к1,Рассказовка,55.6107018,37.3250079,1
2,9,1,15.0,32000,Старое Крюково,Зеленоград,к814,Зеленоград — Крюково,55.9760231,37.1873885,1
4,14,1,21.0,36900,Филимонковское, Братьев Бромлей,5к2,Филатов Луг,55.5664977,37.2875472,1
1,5,1,35.1,40000,Измайлово,9-я Парковая ,50К1,Первомайская,55.8004908,37.7996543,1
5,5,1,30.0,40000,Нижегородский,Басовская ,4,Нижегородская,55.7378269,37.7367644,1
3,5,2,46.0,35000,Северное Измайлово,15-я Парковая ,42К9,Щёлковская,55.8063442,37.825752,1
12,17,1,38.0,40000,Москворечье-Сабурово, Борисовские Пруды,13К2,Борисово,55.6368627,37.7192905,1
3,5,1,27.0,38000,Головинский,Смольная ,9,Водный стадион,55.845642,37.4965142,1
14,14,1,38.1,40000,Выхино-Жулебино,Привольная ,71К1,Жулебино,55.6801622,37.851822,1
5,6,-1,20.0,35000,Перово, 2-я Энтузиастов,5к39,Андроновка,55.7477017,37.7325574,1
6,18,1,20.0,40000,Крюково,проспект Георгиевский,37к1,Зеленоград — Крюково,55.9676733,37.149908,1
4,5,1,32.0,36000,Измайлово,7-я Парковая ,2К2,Первомайская,55.7893687,37.7948425,1
1,12,1,15.0,40000,Преображенское,2-я Пугачевская ,7К1,Преображенская площадь,55.7950043,37.7303625,1
12,14,1,35.0,35000,Рязановское, Логинова,7к1,Щербинка,55.4953168,37.5135356,1
5,5,1,33.0,37000,Раменки,Мосфильмовская ,32,Ломоносовский проспект,55.7206532,37.5233299,1
7,25,1,23.0,35000,Щербинка, Мостотреста,10к2,Щербинка,55.5122499,37.5730248,1
9,16,1,35.0,40000,Орехово-Борисово Южное,Ясеневая ,36/2,Зябликово,55.6053581,37.7435395,1
1,9,1,38.0,35000,Черемушки,Перекопская ,30,Зюзино,55.6621255,37.5690269,1
4,4,1,15.0,40000,Ховрино,Клинская ,8С1,Грачёвская,55.8705577,37.492103,0
6,11,1,26.1,35000,Рязановское, Красовского,2к3,Щербинка,55.4960796,37.5193513,1
4,16,1,25.0,40000,Марушкинское, Медовая Долина,3к2,Санино,55.5857423,37.1268959,1
2,9,1,32.0,35000,Чертаново Южное,Кировоградская ,44К2,Улица Академика Янгеля,55.5968503,37.5937691,1
