"author","author_type","url","location","deal_type","accommodation_type","floor","floors_count","rooms_count","total_meters","price_per_month","commissions","district","street","house_number","underground","residential_complex"
"Елена Макеева","realtor","https://www.cian.ru/rent/flat/313079298/","Москва","rent","flat","20","25","3","98","120000","0","Бабушкинский","Енисейская ","2К2","Свиблово",""
"WHITE BROKER Аренда","real_estate_agent","https://www.cian.ru/rent/flat/317207881/","Москва","rent","flat","1","5","2","60","110000","0","Даниловский","Хавская ","18","Шаболовская",""
"ID 129749454","homeowner","https://www.cian.ru/rent/flat/317489010/","Москва","rent","flat","1","4","-1","40","110500","0","Сокол","Новопесчаная ","5","Сокол",""
"EstateLiga","real_estate_agent","https://www.cian.ru/rent/flat/317873042/","Москва","rent","flat","6","17","3","64","115000","0","Очаково-Матвеевское","Очаковское шоссе","5к1","Аминьевская",""
"ID 21172710","homeowner","https://www.cian.ru/rent/flat/312849460/","Москва","rent","flat","18","30","2","39","107500","0","Южнопортовый","Волгоградский проспект","32/5к2","Угрешская",""
"ID 44326950","homeowner","https://www.cian.ru/rent/flat/317725270/","Москва","rent","flat","2","16","3","55","105000","0",""," Лобановский Лес","9","Ольховая",""
"Елена Попкова","realtor","https://www.cian.ru/rent/flat/317766198/","Москва","rent","flat","6","9","2","54","110000","0","Тверской"," Бутырский Вал","28","Белорусская",""
"ID 99730579","homeowner","https://www.cian.ru/rent/flat/308712006/","Москва","rent","flat","3","12","3","67.5","120000","0","Академический"," Ивана Бабушкина","4К1","Академическая",""
"МЕТРОПОЛИС","real_estate_agent","https://www.cian.ru/rent/flat/317554066/","Москва","rent","flat","7","17","3","68","110000","0","Таганский","Марксистская ","5","Марксистская",""
"СОГЛАСИЕ","real_estate_agent","https://www.cian.ru/rent/flat/317690608/","Москва","rent","flat","2","5","3","80","120000","0","Басманный","Большая Почтовая ","2/4","Бауманская",""
"Юлия Кусанова","realtor","https://www.cian.ru/rent/flat/316609462/","Москва","rent","flat","3","22","2","44","110000","0","Аэропорт"," Черняховского","19","Аэропорт",""
"Ирина Краснова","realtor","https://www.cian.ru/rent/flat/316102704/","Москва","rent","flat","2","7","3","100","120000","0","Таганский","2-й Сыромятнический переулок","10","Чкаловская",""
"Оксана Горбунцова","realtor","https://www.cian.ru/rent/flat/208693858/","Москва","rent","flat","14","25","3","81.2","110000","0","Крылатское"," Крылатские Холмы","24","Крылатское",""
"Алексей Степанов","realtor","https://www.cian.ru/rent/flat/317800890/","Москва","rent","flat","4","12","2","59.1","120000","0","Сокол","Волоколамское шоссе","15/22","Стрешнево",""
"Кристина Логинова","realtor","https://www.cian.ru/rent/flat/178045886/","Москва","rent","flat","2","14","2","63","110000","0","Замоскворечье","Космодамианская набережная","4/22кБ","Новокузнецкая",""
"Dream City","real_estate_agent","https://www.cian.ru/rent/flat/314224170/","Москва","rent","flat","3","28","3","80","120000","0","Ховрино","Флотская ","7к1","Речной вокзал",""
"Виктория Рогозина","realtor","https://www.cian.ru/rent/flat/317743873/","Москва","rent","flat","9","17","2","55","105000","0","Щукино"," Берзарина","32","Щукинская",""
"Андрей Чепрасов","realtor","https://www.cian.ru/rent/flat/301729340/","Москва","rent","flat","11","23","2","70","110000","0","Кунцево","7-й кв-л","7-й кв-л","Молодёжная",""
"ID 69940290","unknown","https://www.cian.ru/rent/flat/315897203/","Москва","rent","flat","19","22","1","41","119000","0","Хорошевский","1-я Магистральная ","25","Хорошёвская",""
"МИР-Н","real_estate_agent","https://www.cian.ru/rent/flat/316182563/","Москва","rent","flat","17","27","3","81","120000","0","Хорошево-Мневники","Карамышевская набережная","48К3","Бульвар Генерала Карбышева",""
"Екатерина Тарасенко","realtor","https://www.cian.ru/rent/flat/317917960/","Москва","rent","flat","27","46","1","33","115000","0","Хорошево-Мневники","Шелепихинская набережная","34к6","Шелепиха",""
"BM-estate Восточный офис","real_estate_agent","https://www.cian.ru/rent/flat/317620881/","Москва","rent","flat","4","5","3","70","110000","0","Сокол","Новопесчаная ","8К1","Сокол",""
"Виктория Рогозина","realtor","https://www.cian.ru/rent/flat/317089953/","Москва","rent","flat","4","8","2","44","110000","0","Басманный","Чистопрудный бульвар","12К2","Чистые пруды",""
"Евгений Соснин","realtor","https://www.cian.ru/rent/flat/316247294/","Москва","rent","flat","16","27","2","51","110000","0","Алексеевский","Староалексеевская ","5А","Алексеевская",""
"Эмин Керимов","realtor","https://www.cian.ru/rent/flat/315159346/","Москва","rent","flat","10","11","2","60","120000","0","Замоскворечье","Валовая ","8/18","Павелецкая",""
"Роман Дыбин","realtor","https://www.cian.ru/rent/flat/317899970/","Москва","rent","flat","3","5","3","75","110000","0","Аэропорт","Малый Коптевский проезд","4","Красный Балтиец",""
"Евгений Измайлов","realtor","https://www.cian.ru/rent/flat/317470576/","Москва","rent","flat","4","11","3","71.8","110000","0","Дорогомилово","площадь Победы","1кБ","Парк Победы",""
"Vmestate","real_estate_agent","https://www.cian.ru/rent/flat/317815004/","Москва","rent","flat","5","8","3","80","115000","0","Гагаринский","Ленинский проспект","69","Вавиловская",""
"МИЭЛЬ Академический","real_estate_agent","https://www.cian.ru/rent/flat/316890670/","Москва","rent","flat","8","13","2","100.8","110000","0","Головинский","Пулковская ","4К3","Водный стадион",""
"МИР-Н","real_estate_agent","https://www.cian.ru/rent/flat/316981489/","Москва","rent","flat","3","29","1","43","120000","0","Даниловский"," Виктора Маслова","2","Автозаводская",""
"Елена Павлова","realtor","https://www.cian.ru/rent/flat/317226595/","Москва","rent","flat","11","21","2","47.6","110000","0","Хорошево-Мневники","3-я Хорошевская ","17А","Зорге",""
"EMPIRE HOME","real_estate_agent","https://www.cian.ru/rent/flat/317870085/","Москва","rent","flat","21","25","3","66","110000","0",""," Бачуринская","11Ак1","Коммунарка",""
"Светлана Пашатская","realtor","https://www.cian.ru/rent/flat/317496190/","Москва","rent","flat","15","27","2","50","110000","0","Алексеевский","Староалексеевская ","5А","Алексеевская",""
"Валерий  Липинский","realtor","https://www.cian.ru/rent/flat/317754214/","Москва","rent","flat","2","14","1","37","110000","0","Хамовники","Гагаринский переулок","27","Кропоткинская",""
"Александр Долгов","realtor","https://www.cian.ru/rent/flat/317286466/","Москва","rent","flat","12","12","3","94","120000","0","Нагатино-Садовники","Нагатинская набережная","10к3","Коломенская",""
"Валентина Гончарова","realtor","https://www.cian.ru/rent/flat/299814968/","Москва","rent","flat","8","9","2","65","115000","0","Беговой","Ленинградский проспект","14К1","Белорусская",""
"HOUSE MALL - Городская недвижимость","real_estate_agent","https://www.cian.ru/rent/flat/315763953/","Москва","rent","flat","46","59","2","65","115000","0","Ростокино","проспект Мира","188Бк3","Ростокино",""
"EMPIRE HOME","real_estate_agent","https://www.cian.ru/rent/flat/317865443/","Москва","rent","flat","1","4","-1","34.5","115000","0","Басманный","Малый Трехсвятительский переулок","8/2С8","Китай-город",""
"Владимир Головко","realtor","https://www.cian.ru/rent/flat/281890114/","Москва","rent","flat","6","25","2","56","110000","0","Нагорный","Электролитный проезд","16к7","Нагорная",""
"Смарт Реалти","real_estate_agent","https://www.cian.ru/rent/flat/317621811/","Москва","rent","flat","15","16","2","44.7","110000","0","Раменки"," Василия Ланового","3","Аминьевская",""
"Комфорт","real_estate_agent","https://www.cian.ru/rent/flat/317265742/","Москва","rent","flat","10","25","3","60","120000","0","Солнцево","Домостроительная улица","14","Мещерская",""
"Ирина Смолякова","realtor","https://www.cian.ru/rent/flat/300835102/","Москва","rent","flat","1","9","2","36.8","120000","0","Тверской","Самотечная ","11","Достоевская",""
"Самолет Плюс Москва ЮГ","real_estate_agent","https://www.cian.ru/rent/flat/315753245/","Москва","rent","flat","4","9","2","43.1","110000","0","Останкинский","проспект Мира","97","Алексеевская",""
"Тимур Илалов","realtor","https://www.cian.ru/rent/flat/317287131/","Москва","rent","flat","6","9","2","58","110000","0","Гагаринский","Ленинский проспект","79","Университет",""
"Юлия Мясоедова","realtor","https://www.cian.ru/rent/flat/317466262/","Москва","rent","flat","5","14","2","57","120000","0","Замоскворечье","Пятницкая ","39","Новокузнецкая",""
"Светлана Кошкина","realtor","https://www.cian.ru/rent/flat/317414065/","Москва","rent","flat","20","22","3","77","120000","0","Марфино"," Кашенкин Луг","8к2","Улица Милашенкова",""
"Алексей Мальцев","realtor","https://www.cian.ru/rent/flat/286946312/","Москва","rent","flat","12","20","3","70","110000","0","Хорошево-Мневники","Карамышевская набережная","56","Мнёвники",""
"Мария Сергеева","realtor","https://www.cian.ru/rent/flat/316846924/","Москва","rent","flat","9","13","1","42.4","120000","0","Даниловский"," Родченко","2","ЗИЛ",""
"Ольга Козицкая","realtor","https://www.cian.ru/rent/flat/307725463/","Москва","rent","flat","15","23","4","105.7","110000","0","Рязанский"," Васильцовский Стан","10к1","Кузьминки",""
"Игорь Гущин","realtor","https://www.cian.ru/rent/flat/316173907/","Москва","rent","flat","12","20","3","76.2","110000","0","Зюзино","Балаклавский проспект","16","Чертановская",""
"Intermark Real Estate","real_estate_agent","https://www.cian.ru/rent/flat/317903341/","Москва","rent","flat","33","36","1","28.4","110000","0","Хорошево-Мневники","Шелепихинская набережная","34к5","Шелепиха",""
"Новый свет","real_estate_agent","https://www.cian.ru/rent/flat/317808250/","Москва","rent","flat","32","33","2","42","110000","0","Кунцево"," Академика Павлова","56к1","Крылатское",""
"Владимир Романенко","realtor","https://www.cian.ru/rent/flat/317805331/","Москва","rent","flat","21","33","1","36","110000","0","Головинский","Кронштадтский бульвар","8к2","Водный стадион",""
"Ольга Сергеева","realtor","https://www.cian.ru/rent/flat/317236525/","Москва","rent","flat","12","16","2","64","115000","0","Свиблово","Лазоревый проезд","1Ак1","Ботанический сад",""
"ГОРОБМЕН","real_estate_agent","https://www.cian.ru/rent/flat/317560342/","Москва","rent","flat","6","15","1","42.5","110000","0","Даниловский"," Родченко","2","ЗИЛ",""
"Иоанна Курочкина","realtor","https://www.cian.ru/rent/flat/317193350/","Москва","rent","flat","3","20","2","52","110000","0","Лефортово","Солдатский переулок","10","Лефортово",""
"Лайк Стрит","real_estate_agent","https://www.cian.ru/rent/flat/317288972/","Москва","rent","flat","10","25","2","55.4","120000","0","Щукино"," Берзарина","32","Щукинская",""
"Элитный Дом","real_estate_agent","https://www.cian.ru/rent/flat/317863237/","Москва","rent","flat","6","16","1","42","105000","0","Южнопортовый"," 1-я Машиностроения","7","Дубровка",""
"V.P. CAPITAL","real_estate_agent","https://www.cian.ru/rent/flat/307321885/","Москва","rent","flat","22","24","2","33.3","120000","0","Соколиная гора","Окружной проезд","10Б","Измайлово",""
"Maroom","real_estate_agent","https://www.cian.ru/rent/flat/317122028/","Москва","rent","flat","2","4","3","97.6","110000","0","Митино"," Рословка","10","Пенягино",""
"HOUSE MALL - Городская недвижимость","real_estate_agent","https://www.cian.ru/rent/flat/317200625/","Москва","rent","flat","9","58","2","80","115000","0","Ростокино","проспект Мира","188Бк1","Ростокино",""
"Ольга Эмирова","realtor","https://www.cian.ru/rent/flat/317618845/","Москва","rent","flat","13","25","3","78","110000","0","Нагорный","Электролитный проезд","16к1","Нагорная",""
"Тимур Данилян","realtor","https://www.cian.ru/rent/flat/317867362/","Москва","rent","flat","28","48","1","38","110000","0","Бутырский","Новодмитровская ","2к6","Дмитровская",""
"EMPIRE HOME","real_estate_agent","https://www.cian.ru/rent/flat/317391161/","Москва","rent","flat","5","14","2","47","105000","0","Ярославский","Федоскинская ","9К2","Бабушкинская",""
"Тимур Данилян","realtor","https://www.cian.ru/rent/flat/317790247/","Москва","rent","flat","23","32","2","40","105000","0","Бутырский"," Руставели","16к1","Бутырская",""
"Светлана Фалеева","realtor","https://www.cian.ru/rent/flat/315556285/","Москва","rent","flat","7","9","2","67","120000","0","Тверской"," Достоевского","1/21С1","Достоевская",""
"Импульс Плюс","real_estate_agent","https://www.cian.ru/rent/flat/317476836/","Москва","rent","flat","7","16","2","54","115000","0","Покровское-Стрешнево","бульвар Чкаловский","6","Спартак",""
"ВЫКУП И ТОЧКА","real_estate_agent","https://www.cian.ru/rent/flat/315366093/","Москва","rent","flat","24","32","3","59","110000","0","Бутырский"," Руставели","16к1","Бутырская",""
"Олеся Васильева","realtor","https://www.cian.ru/rent/flat/316935607/","Москва","rent","flat","25","25","1","46.3","105000","0","Раменки","Мичуринский проспект","3","Ломоносовский проспект",""
"Александр Филатов","realtor","https://www.cian.ru/rent/flat/272079520/","Москва","rent","flat","15","40","3","78","120000","0","Хорошевский","Хорошевское шоссе","12к1","Беговая",""
"Лайк Стрит","real_estate_agent","https://www.cian.ru/rent/flat/316634769/","Москва","rent","flat","6","25","3","80","110000","0","Щукино"," Берзарина","32","Щукинская",""
"LEGETUP","real_estate_agent","https://www.cian.ru/rent/flat/317674605/","Москва","rent","flat","9","12","2","45","120000","0","Алексеевский","Новоалексеевская ","16к2","Алексеевская",""
"Качанова и партнеры","real_estate_agent","https://www.cian.ru/rent/flat/316766409/","Москва","rent","flat","2","7","2","80","120000","0","Гагаринский","Молодежная ","6","Университет",""
"New Day Realty","real_estate_agent","https://www.cian.ru/rent/flat/317841659/","Москва","rent","flat","5","10","3","65","110000","0","Москворечье-Сабурово","переулок 1-й Котляковский","4к3","Варшавская",""
"МРИЭЛТОР - офис Отрадное","real_estate_agent","https://www.cian.ru/rent/flat/315931166/","Москва","rent","flat","8","17","3","103","120000","0","Свиблово","Снежная ","23","Свиблово",""
"МЕГАПОЛИС ЭСТЕЙТ","real_estate_agent","https://www.cian.ru/rent/flat/260881361/","Москва","rent","flat","25","36","3","67","115000","0","Войковский","Головинское шоссе","10Б","Водный стадион",""
"Ишен Кулатаев","realtor","https://www.cian.ru/rent/flat/316295253/","Москва","rent","flat","6","13","-1","32","110000","0","Даниловский"," Даниловский Вал","1А","Тульская",""
"ГОРОБМЕН","real_estate_agent","https://www.cian.ru/rent/flat/317252214/","Москва","rent","flat","5","19","1","48","120000","0","Даниловский"," Виктора Маслова","2","Автозаводская",""
"Валентина  Немкова","realtor","https://www.cian.ru/rent/flat/317574914/","Москва","rent","flat","13","22","4","98","115000","0","Бибирево","Алтуфьевское шоссе","86","Алтуфьево",""
"Анна Кубик","realtor","https://www.cian.ru/rent/flat/317342913/","Москва","rent","flat","13","16","2","46","120000","0","Филевский парк","Большая Филевская ","4","Фили",""
"Галина Цопанова","realtor","https://www.cian.ru/rent/flat/273149877/","Москва","rent","flat","9","19","2","45","110000","0","Красносельский","переулок Докучаев","2с3","Площадь трёх вокзалов",""
"Алексей Комиссаров","realtor","https://www.cian.ru/rent/flat/309609250/","Москва","rent","flat","2","3","1","42","115000","0","Басманный","Казарменный переулок","3-5С2","Курская",""
"Сергей Шкодин","realtor","https://www.cian.ru/rent/flat/317297979/","Москва","rent","flat","5","8","3","80","110000","0","Гагаринский","Ленинский проспект","66","Университет",""
"Римма Гильманшина","realtor","https://www.cian.ru/rent/flat/317444082/","Москва","rent","flat","15","25","2","68","110000","0","Кунцево","Ярцевская ","24К1","Молодёжная",""
"Денис Пронин","realtor","https://www.cian.ru/rent/flat/317859653/","Москва","rent","flat","17","30","2","68","105000","0","Зябликово","Ореховый бульвар","24к3","Красногвардейская",""
"Людмила Байдак","realtor","https://www.cian.ru/rent/flat/317110665/","Москва","rent","flat","12","41","1","44","120000","0","Хорошево-Мневники","Шелепихинская набережная","34к5","Шелепиха",""
"Центр Недвижимости плюс","real_estate_agent","https://www.cian.ru/rent/flat/317804810/","Москва","rent","flat","3","5","4","85","120000","0","Даниловский"," Лестева","16","Шаболовская",""
"Hedge Property","real_estate_agent","https://www.cian.ru/rent/flat/281600878/","Москва","rent","flat","5","5","2","55","120000","0","Замоскворечье"," Большая Ордынка","17С1","Третьяковская",""
"Дискавэри Бизнес Групп","real_estate_agent","https://www.cian.ru/rent/flat/316950955/","Москва","rent","flat","2","2","3","65","120000","0","Тимирязевский","Тимирязевская ","33С16","Тимирязевская",""
"Tikhomirova Estate","real_estate_agent","https://www.cian.ru/rent/flat/311672375/","Москва","rent","flat","8","28","1","34.3","110000","0","Хорошево-Мневники","Причальный проезд","10к1","Шелепиха",""
"Олеся Фадеева","realtor","https://www.cian.ru/rent/flat/316521601/","Москва","rent","flat","12","18","3","100","120000","0","Черемушки"," Наметкина","11К1","Новые Черёмушки",""
"Иветта Яшкина","realtor","https://www.cian.ru/rent/flat/315960376/","Москва","rent","flat","15","23","2","64","120000","0","Свиблово","Сельскохозяйственная ","38к1","Ботанический сад",""
"Центр Недвижимости плюс","real_estate_agent","https://www.cian.ru/rent/flat/316635530/","Москва","rent","flat","4","8","4","80","120000","0","Донской"," Шаболовка","30/12","Шаболовская",""
"Вера Владимирова","realtor","https://www.cian.ru/rent/flat/317250006/","Москва","rent","flat","13","25","3","68","120000","0","Строгино"," Твардовского","2к4с1","Строгино",""
"Dream Realty","real_estate_agent","https://www.cian.ru/rent/flat/317868874/","Москва","rent","flat","11","29","3","105","120000","0","Соколиная гора","Мироновская ","25","Измайлово",""
"Прайм Самолет Плюс","real_estate_agent","https://www.cian.ru/rent/flat/317609372/","Москва","rent","flat","8","9","-1","23.8","110000","0","Беговой"," 1-я Ямского Поля","1к1","Белорусская",""
"Вариант","real_estate_agent","https://www.cian.ru/rent/flat/267922884/","Москва","rent","flat","18","22","3","78","120000","0","Останкинский"," Академика Королева","4К2","Улица Академика Королёва",""
"Премиум","real_estate_agent","https://www.cian.ru/rent/flat/317558822/","Москва","rent","flat","8","24","2","63","105000","0","Фили-Давыдково","Кастанаевская ","44Ак1","Пионерская",""
"Юрий Мамонтов","realtor","https://www.cian.ru/rent/flat/314836859/","Москва","rent","flat","3","7","2","73","120000","0","Сокол"," Сальвадора Альенде","3","Панфиловская",""
"Red Square-Real Estate","real_estate_agent","https://www.cian.ru/rent/flat/316102356/","Москва","rent","flat","3","20","3","110","120000","0","Соколиная гора","проспект Буденного","9","Семёновская",""
"Сергей Давыдов","realtor","https://www.cian.ru/rent/flat/317788004/","Москва","rent","flat","7","33","2","37.7","110000","0","Очаково-Матвеевское","Очаковское шоссе","5к4","Аминьевская",""
"Холдинг Профи","real_estate_agent","https://www.cian.ru/rent/flat/317039227/","Москва","rent","flat","3","10","1","40","110000","0","Даниловский","Летниковская ","13","Павелецкая",""
"Неля Гарипова","realtor","https://www.cian.ru/rent/flat/316254982/","Москва","rent","flat","11","15","2","42.1","120000","0","Даниловский"," Родченко","2","ЗИЛ",""
"Сергей Зуев","realtor","https://www.cian.ru/rent/flat/317391525/","Москва","rent","flat","5","9","3","68","105000","0","Ломоносовский","Ленинский проспект","85","Новаторская",""
"ГОРОБМЕН","real_estate_agent","https://www.cian.ru/rent/flat/317447090/","Москва","rent","flat","2","7","3","85","120000","0","Пресненский"," Малая Грузинская","38","Улица 1905 года",""
"Анна Акимова","realtor","https://www.cian.ru/rent/flat/317243045/","Москва","rent","flat","29","32","2","58","120000","0","Бутырский"," Руставели","16к1","Бутырская",""
"Олег Швецов","realtor","https://www.cian.ru/rent/flat/317855895/","Москва","rent","flat","4","4","3","64","119990","0","Сокол","Новопесчаная ","6К2","Сокол",""
"EstateLiga","real_estate_agent","https://www.cian.ru/rent/flat/316113444/","Москва","rent","flat","9","20","1","46.6","110000","0","Филевский парк","Большая Филевская ","3к2","Фили",""
"Рамиз Азизов","realtor","https://www.cian.ru/rent/flat/317597700/","Москва","rent","flat","26","33","3","58","115000","0","Метрогородок","Открытое шоссе","18Ак1","Бульвар Рокоссовского",""
"Светлана Юдинцева","realtor","https://www.cian.ru/rent/flat/317577102/","Москва","rent","flat","25","33","2","53","110000","0","Очаково-Матвеевское","Очаковское шоссе","5к3","Аминьевская",""
"Неля Кузнецова","realtor","https://www.cian.ru/rent/flat/316907972/","Москва","rent","flat","4","9","3","81","120000","0","Пресненский"," Пресненский Вал","4/29","Улица 1905 года",""
"Елена Карпенко","realtor","https://www.cian.ru/rent/flat/316852952/","Москва","rent","flat","1","9","2","48","120000","0","Пресненский","Вспольный переулок","16С2","Баррикадная",""
"Ирина Малахова","realtor","https://www.cian.ru/rent/flat/254496854/","Москва","rent","flat","18","18","2","48","110000","0","Обручевский","Ленинский проспект","107к3","Новаторская",""
"Азбука Недвижимости","real_estate_agent","https://www.cian.ru/rent/flat/316443251/","Москва","rent","flat","4","5","2","75","120000","0","Красносельский","Ананьевский переулок","4/2С2","Сухаревская",""
"Иннокентий Манякин","realtor","https://www.cian.ru/rent/flat/317426486/","Москва","rent","flat","3","6","1","33","120000","0","Хорошевский","Ленинградский проспект","57","Аэропорт",""
"Moscow Estate","real_estate_agent","https://www.cian.ru/rent/flat/252031261/","Москва","rent","flat","18","24","2","60","110000","0","Раменки"," Лобачевского","98к3","Мичуринский проспект",""
"Людмила Трофимова","realtor","https://www.cian.ru/rent/flat/291802463/","Москва","rent","flat","4","17","3","111.6","117000","0","Хорошево-Мневники","проспект Маршала Жукова","68К1","Народное Ополчение",""
"Ирина Турчанинова","realtor","https://www.cian.ru/rent/flat/316769585/","Москва","rent","flat","7","12","-1","35.8","110000","0","Даниловский","Холодильный переулок","4","Тульская",""
"Антон Осмелкин","realtor","https://www.cian.ru/rent/flat/314909934/","Москва","rent","flat","4","8","2","44.6","115000","0","Пресненский","Большой Кондратьевский переулок","6","Белорусская",""
"ОЛИМПИК СТАР","real_estate_agent","https://www.cian.ru/rent/flat/317846234/","Москва","rent","flat","17","23","2","78","110000","0","Теплый Стан"," Теплый Стан","7","Генерала Тюленева",""
"Ирина Полянская","realtor","https://www.cian.ru/rent/flat/301497866/","Москва","rent","flat","4","9","3","91.7","115000","0","Басманный","Гольяновский проезд","4АС1","Электрозаводская",""
"Инна Светлова","realtor","https://www.cian.ru/rent/flat/314901341/","Москва","rent","flat","2","28","2","60","120000","0","Ховрино","Флотская ","7к3","Речной вокзал",""
"АЛЬФА","real_estate_agent","https://www.cian.ru/rent/flat/317489897/","Москва","rent","flat","36","53","2","45","110000","0","Пресненский","Шмитовский проезд","39к8","Москва-Сити",""
"Суламит-НГС","real_estate_agent","https://www.cian.ru/rent/flat/290492430/","Москва","rent","flat","2","5","1","27","120000","0","Таганский","Певческий переулок","1/2С1","Китай-город",""
"Диос Недвижимость","real_estate_agent","https://www.cian.ru/rent/flat/316561821/","Москва","rent","flat","14","35","2","43","110000","0","Раменки"," Василия Ланового","3","Аминьевская",""
"ID 16799","realtor","https://www.cian.ru/rent/flat/317546984/","Москва","rent","flat","6","9","2","57","120000","0","Хамовники","Оболенский переулок","7","Фрунзенская",""
"Геннадий Куликов","realtor","https://www.cian.ru/rent/flat/317621557/","Москва","rent","flat","16","33","3","48","120000","0","Нижегородский","Перовское шоссе","2к1","Нижегородская",""
"Самолет Плюс Москва Ясенево","real_estate_agent","https://www.cian.ru/rent/flat/317754668/","Москва","rent","flat","5","9","3","58.6","106500","0","Ясенево","Ясногорская ","3","Ясенево",""
"Маргарита Семенихина","realtor","https://www.cian.ru/rent/flat/314176144/","Москва","rent","flat","11","17","2","63.3","105000","0","Очаково-Матвеевское","Очаковское шоссе","5к1","Аминьевская",""
"Любовь Попова","realtor","https://www.cian.ru/rent/flat/315787270/","Москва","rent","flat","3","6","2","65","120000","0","Тверской","Новослободская ","54/56","Савёловская",""
"Стоун Бридж эстейт","real_estate_agent","https://www.cian.ru/rent/flat/314675499/","Москва","rent","flat","4","19","2","90","120000","0","Проспект Вернадского"," Лобачевского","92К4","Мичуринский проспект",""
"EstateLiga","real_estate_agent","https://www.cian.ru/rent/flat/316452275/","Москва","rent","flat","17","21","1","36","115000","0","Басманный","площадь Курского Вокзала","1","Чкаловская",""
"ID 16032842","realtor","https://www.cian.ru/rent/flat/314576538/","Москва","rent","flat","16","17","3","75","120000","0","Кунцево","Рублевское шоссе","14К3","Кунцевская",""
"Елена Слуцкая","realtor","https://www.cian.ru/rent/flat/310354603/","Москва","rent","flat","4","12","3","85","120000","0","Раменки","Мосфильмовская ","11К2","Ломоносовский проспект",""
"EstateLiga","real_estate_agent","https://www.cian.ru/rent/flat/317247542/","Москва","rent","flat","13","14","1","38","110000","0","Даниловский"," Архитектора Щусева","1","ЗИЛ",""
"Центр Недвижимости плюс","real_estate_agent","https://www.cian.ru/rent/flat/292065793/","Москва","rent","flat","2","5","3","78","120000","0","Академический"," Гримау","3К2","Академическая",""
"Ирина Сигида","realtor","https://www.cian.ru/rent/flat/317236379/","Москва","rent","flat","4","15","3","75","105000","0","Фили-Давыдково"," Ивана Франко","8К2","Кунцевская",""
"OXE CAPITAL - Элитная Недвижимость","real_estate_agent","https://www.cian.ru/rent/flat/314477584/","Москва","rent","flat","11","53","1","31","120000","0","Пресненский","Шмитовский проезд","39к8","Москва-Сити",""
"Ишен Кулатаев","realtor","https://www.cian.ru/rent/flat/315526138/","Москва","rent","flat","11","13","-1","31","110000","0","Даниловский"," Даниловский Вал","1А","Тульская",""
"Светлана Маева","realtor","https://www.cian.ru/rent/flat/313820782/","Москва","rent","flat","1","16","3","75","110000","0","Академический","Профсоюзная ","8К2","Академическая",""
"Валентина Сафонова","realtor","https://www.cian.ru/rent/flat/297255634/","Москва","rent","flat","14","37","2","62.9","120000","0","Хорошевский","Хорошевское шоссе","12к1","Беговая",""
"Анна Ремизова","realtor","https://www.cian.ru/rent/flat/317218182/","Москва","rent","flat","10","25","3","72","110000","0","Нижегородский"," Нижняя Хохловка","6","Нижегородская",""
"Оксана Васильева","realtor","https://www.cian.ru/rent/flat/316086671/","Москва","rent","flat","20","39","1","38","120000","0","Раменки"," Лобачевского","120к1","Аминьевская",""
"Александра Рудская","realtor","https://www.cian.ru/rent/flat/226507438/","Москва","rent","flat","8","18","3","82","115000","0","Северное Медведково","Широкая ","30","Медведково",""
"Юлия Немировская","realtor","https://www.cian.ru/rent/flat/316061478/","Москва","rent","flat","4","18","1","39.3","110000","0","Даниловский","Дубининская ","59А","Серпуховская",""
"DOORS AGENCY","real_estate_agent","https://www.cian.ru/rent/flat/317597660/","Москва","rent","flat","14","14","2","42.3","110000","0","Таганский","Брошевский переулок","6","Пролетарская",""
"EstateLiga","real_estate_agent","https://www.cian.ru/rent/flat/316023153/","Москва","rent","flat","2","9","2","56","110000","0","Лефортово","проезд Шелихова","3","Площадь Ильича",""
"Андрей Чепрасов","realtor","https://www.cian.ru/rent/flat/314858089/","Москва","rent","flat","5","6","2","56","110000","0","Таганский","2-й Сыромятнический переулок","8","Курская",""
"Новый дом","real_estate_agent","https://www.cian.ru/rent/flat/315880947/","Москва","rent","flat","4","6","1","43.3","110000","0","Филевский парк","Багратионовский проезд","5Ак1","Фили",""
"EstateLiga","real_estate_agent","https://www.cian.ru/rent/flat/317917807/","Москва","rent","flat","15","18","1","40","120000","0","Беговой","Ленинградский проспект","29к1","Динамо",""
"Инна Спасская","realtor","https://www.cian.ru/rent/flat/310789040/","Москва","rent","flat","5","10","3","87.2","110000","0","Басманный","Семеновская набережная","3/1К6","Электрозаводская",""
"Елена Радзевская","realtor","https://www.cian.ru/rent/flat/317440367/","Москва","rent","flat","10","24","2","61","105000","0","Черемушки","Новочеремушкинская ","55К2","Профсоюзная",""
"Вероника Кудашова","realtor","https://www.cian.ru/rent/flat/312263636/","Москва","rent","flat","12","14","2","60","105000","0","Якиманка"," Большая Полянка","30","Полянка",""
"НПЮ-Недвижимость","real_estate_agent","https://www.cian.ru/rent/flat/316817562/","Москва","rent","flat","20","22","2","40","120000","0","Хорошево-Мневники","3-я Хорошевская ","17А","Зорге",""
"Дмитрий  Алексеев","realtor","https://www.cian.ru/rent/flat/317284011/","Москва","rent","flat","3","10","-1","35","120000","0","Замоскворечье","Стремянный переулок","2","Павелецкая",""
"ЦеНтр ПИК","real_estate_agent","https://www.cian.ru/rent/flat/316527581/","Москва","rent","flat","35","44","2","56","120000","0","Хорошевский","Хорошевское шоссе","16к2","Беговая",""
