"author","author_type","url","location","deal_type","accommodation_type","floor","floors_count","rooms_count","total_meters","price_per_month","commissions","district","street","house_number","underground","residential_complex"
"Capital Mars","real_estate_agent","https://www.cian.ru/rent/flat/315515728/","Москва","rent","flat","14","34","3","88","180000","0","Обручевский"," Архитектора Власова","71к2","Воронцовская",""
"Premium Realty","real_estate_agent","https://www.cian.ru/rent/flat/317066461/","Москва","rent","flat","12","35","3","92","180000","0","Тропарево-Никулино","проспект Вернадского","94к3","Тропарёво",""
"Юлия Дусина","realtor","https://www.cian.ru/rent/flat/314926929/","Москва","rent","flat","22","34","2","46","180000","0","Обручевский"," Архитектора Власова","71к2","Воронцовская",""
"Bellmarc","real_estate_agent","https://www.cian.ru/rent/flat/317566438/","Москва","rent","flat","4","11","2","68","175000","0","Пресненский","Краснопресненская набережная","2/1","Краснопресненская",""
"Элитный Дом","real_estate_agent","https://www.cian.ru/rent/flat/316332420/","Москва","rent","flat","18","18","2","61","169999","0","Даниловский"," Серпуховский Вал","21к3","Шаболовская",""
"ID 85391","realtor","https://www.cian.ru/rent/flat/311038966/","Москва","rent","flat","4","9","3","65","175000","0","Хорошево-Мневники"," Нижние Мневники","9","Терехово ",""
"Las Vegas","real_estate_agent","https://www.cian.ru/rent/flat/317571650/","Москва","rent","flat","8","17","3","120","180000","0","Преображенское","Малая Черкизовская ","22","Преображенская площадь",""
"Ярослав Бибиков","realtor","https://www.cian.ru/rent/flat/317225815/","Москва","rent","flat","3","14","2","66.1","169990","0","Лефортово","проезд Шелихова","1к1","Серп и Молот",""
"Chase R.E.S.","real_estate_agent","https://www.cian.ru/rent/flat/316311328/","Москва","rent","flat","5","10","2","60","180000","0","Якиманка"," Малая Полянка","2","Полянка",""
"Capital Mars","real_estate_agent","https://www.cian.ru/rent/flat/317321466/","Москва","rent","flat","5","8","3","80","178000","0","Хамовники"," Хамовнический Вал","38","Спортивная",""
"ID 301577","realtor","https://www.cian.ru/rent/flat/314699419/","Москва","rent","flat","4","8","3","74","180000","0","Дорогомилово"," Можайский Вал","6","Киевская",""
"ID 12773438","unknown","https://www.cian.ru/rent/flat/317039353/","Москва","rent","flat","21","29","3","98.4","170000","0","Можайский","переулок 2-й Петра Алексеева","5","Рабочий посёлок",""
"EstateLiga","real_estate_agent","https://www.cian.ru/rent/flat/315139370/","Москва","rent","flat","26","29","2","50","170000","0","Хорошево-Мневники","Шелепихинская набережная","40к3","Шелепиха",""
"Verges of estate","real_estate_agent","https://www.cian.ru/rent/flat/316873317/","Москва","rent","flat","2","22","2","62","170000","0","Очаково-Матвеевское","Нежинская ","3А","Матвеевская",""
"ID 441097","realtor","https://www.cian.ru/rent/flat/317421452/","Москва","rent","flat","7","15","3","115","170000","0","Тропарево-Никулино"," Академика Анохина","2К4","Юго-Западная",""
"ID 3117352","homeowner","https://www.cian.ru/rent/flat/308555747/","Москва","rent","flat","4","23","3","97.7","170000","0","Покровское-Стрешнево","Иваньковское шоссе","5","Щукинская",""
"Тройка","real_estate_agent","https://www.cian.ru/rent/flat/317364870/","Москва","rent","flat","5","7","2","39.2","170000","0","Пресненский","Большой Тишинский переулок","38","Улица 1905 года",""
"Trust Realty","real_estate_agent","https://www.cian.ru/rent/flat/307325425/","Москва","rent","flat","3","15","2","54","170000","0","Сокол"," Врубеля","4к1","Сокол",""
"ID 118391","homeowner","https://www.cian.ru/rent/flat/315666898/","Москва","rent","flat","10","16","2","85","175000","0","Савеловский"," Мишина","26","Петровский Парк",""
"Никита Снисаренко","realtor","https://www.cian.ru/rent/flat/306412830/","Москва","rent","flat","20","27","3","79.5","165000","0","Свиблово","Лазоревый проезд","5к5","Ботанический сад",""
"ID 20380260","unknown","https://www.cian.ru/rent/flat/315869694/","Москва","rent","flat","2","10","3","77","180000","0","Можайский","Гжатская ","5к4","Давыдково",""
"ID 127338023","homeowner","https://www.cian.ru/rent/flat/313149373/","Москва","rent","flat","9","22","4","120","180000","0","Кунцево","Истринская ","8к3","Кунцевская",""
"ID 111333477","realtor","https://www.cian.ru/rent/flat/316765780/","Москва","rent","flat","6","6","3","98","180000","0","Тверской","2-я Брестская ","24/15","Белорусская",""
"Las Vegas","real_estate_agent","https://www.cian.ru/rent/flat/317693611/","Москва","rent","flat","17","23","3","120","170000","0","Раменки"," Пырьева","9к2","Поклонная",""
"OXE CAPITAL - Элитная Недвижимость","real_estate_agent","https://www.cian.ru/rent/flat/316928451/","Москва","rent","flat","5","41","2","47.6","180000","0","Раменки","1-й Сетуньский проезд","8","Кутузовская",""
"ЦАН","real_estate_agent","https://www.cian.ru/rent/flat/315350483/","Москва","rent","flat","4","10","2","70","170000","0","Арбат","Смоленская площадь","13/21","Смоленская",""
"Las Vegas","real_estate_agent","https://www.cian.ru/rent/flat/317254035/","Москва","rent","flat","4","20","3","60","170000","0","Филевский парк","Большая Филевская ","3к3","Фили",""
"ID 127817035","homeowner","https://www.cian.ru/rent/flat/313758852/","Москва","rent","flat","10","14","3","70","165000","0","Южнопортовый"," 1-я Машиностроения","7","Дубровка",""
"ID 82710863","realtor","https://www.cian.ru/rent/flat/316386450/","Москва","rent","flat","15","30","1","40.4","170000","0","Хорошевский","Ленинградский проспект","37/5","ЦСКА",""
"Capital Mars","real_estate_agent","https://www.cian.ru/rent/flat/316842766/","Москва","rent","flat","9","22","4","115","180000","0","Кунцево","Истринская ","8к3","Кунцевская",""
"ID 130655985","homeowner","https://www.cian.ru/rent/flat/317119973/","Москва","rent","flat","6","15","3","84.8","173000","0","Кунцево"," Академика Павлова","56к1","Крылатское",""
"МИЭЛЬ","real_estate_agent","https://www.cian.ru/rent/flat/317811062/","Москва","rent","flat","18","33","4","145","170000","0","Тропарево-Никулино","проспект Вернадского","105к4","Юго-Западная",""
"Capital Mars","real_estate_agent","https://www.cian.ru/rent/flat/317637789/","Москва","rent","flat","4","9","3","90","180000","0","Южнопортовый"," Трофимова","35/20","Кожуховская",""
"ID 447575","homeowner","https://www.cian.ru/rent/flat/293695635/","Москва","rent","flat","3","14","2","67","180000","0","Филевский парк","Береговой проезд","1А","Фили",""
